,    last_scraped,source,name,description,neighborhood_overview,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
0,09/11/2024,city scrape,Unique neighborhood cottage,"Not for everyone, but loved by many'<br />' The birdhouse' A funky old neighborhood Cottage, in a Great location! The house is located in the Cooper Park historical district, close to MSU, and downtown Bozeman is just a few blocks walk away.","It is close to everything. Older neighborhood with mature trees, I think it is one of the nicest avenues in Bozeman.<br />*Lots of construction in the neighborhood summer of 2023 road North of our block, and house next door is being renovated.",Stacie,29/05/2012,"Bozeman, MT", I love my home and love sharing it. ,within a few hours,100%,92%,f,1,1,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,2,2.0,2,2.0,"[""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Heating - split type ductless system"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Hammock"", ""Outdoor furniture"", ""Blender"", ""Stove"", ""Lockbox"", ""First aid kit"", ""Pets allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Fast wifi \u2013 80 Mbps"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Clothing storage: closet, wardrobe, and dresser"", ""Hot water kettle"", ""Bathtub"", ""Dryer"", ""Essentials"", ""  Various  conditioner"", ""30 inch HDTV with Netflix, Roku"", ""Portable heater"", ""Coffee maker: pour-over coffee"", ""Everyone  body soap"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Fire pit"", ""Dishes and silverware"", ""Toaster"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Private backyard \u2013 Fully fenced"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Bikes"", ""AC - split type ductless system"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen"", ""Ethernet connection""]",150%,3,700,3.0,700.0,t,17,17,17,89,21,1,03/09/2012,20/10/2024,4.95,4.95,4.97,4.99,4.98,4.98,4.89,f,1,1.72
1,09/11/2024,city scrape,Downtown Bozeman Vacation Rental,"Just four easy blocks from historic downtown Bozeman, this modern loft apartment is your perfect retreat. Enjoy a private loft, with modern amenities, just minutes from the best that Bozeman has to offer, shopping, fine dining, and nightlife.<br /><br />Need a vehicle rental? I’m happy to share my friend’s Turo link after booking. <br /><br />STR22-00028","Excellent neighborhood, close to parks, campus, great restaurants and everything you need for a comfortable stay.",Brian,08/11/2013,"Bozeman, MT","I'm a born and raised Montanan. I've done some traveling around the world and I just couldn't leave ""The Last Best Place"". I am a designer at A&E Design, a local Architecture and Design Firm. 

I live in the main house of the property with my black lab mix 'River'.  We spend a lot of our time outside on the river, slopes, hunting, camping, or hanging out in Historic Downtown Bozeman. 

We look forward to accommodating you and your adventure to this great town.",within an hour,100%,100%,t,2,2,"['email', 'phone', 'work_email']",t,t,Bozeman,Entire guesthouse,Entire home/apt,2,1.0,1,1.0,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Wifi"", ""Exterior security cameras on property"", ""First aid kit"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Kitchenette"", ""Essentials"", ""Smart lock"", ""Self check-in"", ""Shower gel"", ""Dishes and silverware"", ""Toaster"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Central heating"", ""Wine glasses"", ""55 inch HDTV with Amazon Prime Video, Disney+, Apple TV, HBO Max, Netflix, Hulu"", ""Iron"", ""Free dryer \u2013 In unit"", ""Central air conditioning"", ""Mini fridge"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Coffee"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Shampoo"", ""Room-darkening shades""]",135%,2,730,2.0,1125.0,t,6,25,53,290,72,5,22/11/2013,19/10/2024,4.97,4.98,4.95,4.97,4.99,4.93,4.94,f,2,3.92
2,09/11/2024,city scrape,Northside Hideaway,"Free, fast Wi-Fi for remote learning/working needs. Keyless self check-in.","This is a great neighborhood - it's a nice, short, walk to downtown or a number of neighborhood attractions such as an excellent Italian bakery and coffee shop.  Great atmosphere and high quality offerings!",Paul,17/08/2013,"Bozeman, MT","I started Bozeman Cottage Vacation Rentals in 1998 which has now grown to 17 properties, mostly within walking distance from downtown Bozeman. I also work in renewable energy - solar thermal, permaculture, electric bikes, and biofuels - and strive to keep Bozeman Cottage low impact.  I stock the houses with non-toxic body products and cleaners, and are as efficient as possible with heating and cooling.  I also run a bicycle rental business so you can easily and affordably see Bozeman on 2-wheels!

Note: I manage a few different guest houses and reviews are shown collectively for all places. The few reservations that had to be cancelled over the years were mostly due to date conflicts when calendars failed to update automatically. The July 2016 reservation was cancelled when the guests revealed that they had two cats after using autobook, for which Airbnb charged me 100, so unfortunately I no longer use autobook.",within an hour,90%,99%,t,22,38,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,4,1.5,1,2.0,"[""Refrigerator"", ""Private entrance"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Wifi"", ""Mountain view"", ""Indoor fireplace"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Heating"", ""Washer"", ""Oven"", ""Iron"", ""Smoke alarm"", ""Cooking basics"", ""Air conditioning"", ""Shampoo"", ""Kitchen""]",167%,3,1125,5.1,1125.0,t,30,44,74,340,3,1,27/05/2014,13/10/2024,4.76,4.89,4.82,4.95,4.97,4.97,4.7,f,21,0.3
3,09/11/2024,city scrape,2 Blocks 2 Main,"This space is designed for 1-2 people that want to sleep in the same bed.  More details are below in the space section.<br /><br />According to our local laws, I need to post my registration number and there is no place on this website to post it so decided to put it here - Registration #STR22-00083","I love that it is 2 blocks from the heart of downtown Bozeman where you will find a wonderful assortment of shops, restaurants, the city library, walking trails, and a park. A walking trail start just 1 block south that will take you by fields, wooded areas, creeks, and  a duck pond.  It is four blocks to the city library and one block to Bogert Park and the outdoor city pool.  Being a native of this area, I will be able to help you match your preferences regarding restaurants, activities, etc. to the huge array of options.  <br /><br />Bozeman and the surrounding area has so much to offer:  1.5 hours to Yellowstone Park, unending hiking and cross country ski trails, two top notch downhill ski areas with a total of 24 lifts and 222 named runs, world class fishing, golfing, everything from amazing sushi to one of the best steaks you will ever eat, great little shops with unique items, amazing chocolates and caramels made locally, the best shoe store ever, majestic mountains all around a",Irene,31/07/2013,"Bozeman, MT","I have lived in or near Bozeman all of my life.  I purchased this home several years ago and raised my three children here and now that they are off on their own adventures, I would love to share this home with you and all this amazing area has to offer.",within an hour,100%,92%,t,2,2,"['email', 'phone']",t,f,Bozeman,Entire rental unit,Entire home/apt,2,1.0,1,1.0,"[""Refrigerator"", ""Portable fans"", ""Hangers"", ""Carbon monoxide alarm"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Essentials"", ""Self check-in"", ""Dishes and silverware"", ""Heating"", ""Varies body soap"", ""Iron"", ""Coffee"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Air conditioning"", ""Shampoo"", ""TV with standard cable"", ""Ethernet connection""]",175%,3,3,3.0,3.0,t,9,39,69,249,6,0,09/05/2016,02/09/2024,4.96,5.0,5.0,5.0,4.98,5.0,4.73,t,2,0.47
4,09/11/2024,city scrape,Modern Home Near Campus & Downtown,"Great house on the south side of town, near campus. 15 minute drive to airport. 15 minute walk to down town. Sunny porch with grill and fenced in yard.  <br />3 queen size bedrooms with lots of light and 2 full bathrooms. Large kitchen, great for entertaining. Kitchen is equipped with all the basics, but please inquire about specifics.","Great neighborhood, close to parks, campus, great restaurants and bars! Quiet, yet centrally located. If you're planning on staying in town there is no need to rent a car.",Kris And Alex,20/08/2013,"Livingston, MT","We have been traveling with Airbnb for the past 6 years and have been hosts ourselves for the past 4. We love the experience of staying in a home and getting familiar with a neighborhood when we travel and we are happy to pass that experience along to our guests. 
We reside in Livingston, Montana where we spend our free time floating the rivers, fishing and camping in the summers and skiing at nearby Bridger Bowl in the winter. 
We prefer our privacy and independence when we travel but are always open to local tips and suggestions and we are happy to give you the same when you come to Montana.
We are both local business owners who have a combined 30+ years in the area. We are more than happy to share any knowledge of the area that we have with you. Please ask!  ",within an hour,100%,100%,t,2,2,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,6,2.0,3,3.0,"[""Hangers"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Microwave"", ""Wifi"", ""Stove"", ""Lockbox"", ""TV"", ""Pets allowed"", ""Coffee maker"", ""Cleaning products"", ""Fire extinguisher"", ""Hair dryer"", ""Dryer"", ""Essentials"", ""Portable air conditioning"", ""Self check-in"", ""Dishwasher"", ""Dishes and silverware"", ""Dedicated workspace"", ""Heating"", ""Washer"", ""Oven"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",255%,3,31,3.0,31.0,t,11,33,63,335,41,2,01/07/2014,27/10/2024,4.77,4.87,4.75,4.91,4.83,4.89,4.73,f,1,2.46
5,09/11/2024,city scrape,"Charming downtown home, Bogart park","Location, location, location!  This home is located 3 blocks from downtown and 100 yards from Bogart park. Located at the top of historic Lindley street, this neighborhood is the best location for all your downtown Bozeman shopping and eating.<br /><br />Bozeman Hosting permit #313210","Walking distance to downtown, Petes hill, Bogart park farmers market and ice rink. Both Koch and Lindley are not through streets making this quite but still in the heart of downtown. Wonderful neighbors with a true sense of community",Zack,07/01/2012,"Bozeman, MT","I'm originally from Colorado and calling Bozeman Montana my home for the last 16 years.  My passions are skiing, fishing, camping, biking, live music and anything outdoors.  I am happy to share my home with respectful guest. The community here is amazing and I hope you get a taste of the quite, old bozeman.  I hope the location and space of my house serves as a home base for your time in Montana. ",within a day,100%,40%,f,1,1,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,4,1.0,2,2.0,"[""Refrigerator"", ""Clothing storage: closet and dresser"", ""Portable fans"", ""Hangers"", ""Private entrance"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Books and reading material"", ""Rice maker"", ""Outdoor furniture"", ""Wifi"", ""Blender"", ""Exterior security cameras on property"", ""Body soap"", ""Pack \u2019n play/Travel crib"", ""Coffee maker"", ""Long term stays allowed"", ""Bidet"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fireplace guards"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Window AC unit"", ""Self check-in"", ""Freezer"", ""Indoor fireplace: gas"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Dishwasher"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Washer"", ""Gas stove"", ""Board games"", ""Sound system"", ""Dining table"", ""Oven"", ""Iron"", ""Crib"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""55 inch HDTV with standard cable"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",514%,90,180,90.0,180.0,t,0,0,0,101,2,0,16/12/2015,21/08/2024,4.97,4.94,4.99,4.98,5.0,5.0,4.74,f,1,0.64
6,09/11/2024,city scrape,Sunny Bozeman MSU Cottage,"#STR23-00143<br /><br />Our bright and open Mother-in-Law unit is newly remodeled and in a great location in Bozeman. You can walk or bike to downtown, MSU, neighborhood parks, trails, coffee shops and restaurants. Easy drive to Yellowstone Park and much more to explore.","At the cottage you are a few blocks from MSU campus, Joe's Parkway Grocery, Pickle Barrel sandwiches AND Ice Cream shop, 2 coffee shops, and the AWESOME Columbo Pizza place. Neighborhood parks - Cooper Park and Southside Park- are also a few blocks away.",Frances,05/05/2014,"Bozeman, MT","I am a mother of 2 who enjoys to cook and play outside. I love my neighborhood and would not want to live anywhere else in Bozeman- and trust me I have looked but this is the place for me! 
Both my husband and I are from the East coast and travel back as often as possible. 
I love the warm season here and my husband loves the cold-you will get plenty of input from us if you need suggestions on what to do. ",within a few hours,100%,95%,t,1,2,"['email', 'phone']",t,t,Bozeman,Entire guesthouse,Entire home/apt,4,1.0,1,2.0,"[""Children\u2019s dinnerware"", ""Refrigerator"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""I provide products that are considered \""clean\"" products body soap"", ""Air conditioning"", ""Microwave"", ""Outdoor furniture"", ""Wifi"", ""Stove"", ""TV with Amazon Prime Video, Roku, Netflix"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Hot water kettle"", ""Essentials"", ""I provide \""clean\"" products conditioner"", ""Self check-in"", ""Shower gel"", ""Dishes and silverware"", ""Coffee maker: french press, Keurig coffee machine"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Wine glasses"", ""Backyard"", ""Oven"", ""Iron"", ""Coffee"", ""Hot water"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Clothing storage: dresser"", ""Shampoo"", ""Kitchen""]",125%,2,1125,2.0,1125.0,t,14,32,62,87,24,1,22/07/2015,11/10/2024,4.94,4.94,4.83,4.98,4.98,4.94,4.88,f,1,1.76
7,09/11/2024,city scrape,Lovely 2BR Bozeman Cottage near Main St,"Note: 30 day minimum rentals only.<br />Welcome to my quaint and comfortable two bedroom Bozeman cottage! Walking distance to Main Street - enjoy restaurants, parks, nearby skiing and rivers, and unwind with a drink on the deck.","Great location! Only a few blocks walking distance to Main Street. I'd be happy to give you restaurant, bar and cafe recommendations. Bridger Bowl ski resort is 15 miles up the road, and Big Sky ski resort is about an hour away. Lots of hiking, biking and rivers to enjoy around Bozeman. The north entrance to Yellowstone National Park is around 1 1/2 hours away.",Anna,03/08/2010,"San Francisco, CA","Avid cyclist, horse rider and skier. Favorite travel destinations: Costa Rica, Scandinavia, France, Italy, and the Rocky Mountains. ",within an hour,100%,91%,t,1,3,"['email', 'phone']",t,t,Bozeman,Entire home,Entire home/apt,4,1.0,2,2.0,"[""Children\u2019s books and toys for ages 0-2 years old"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Outdoor furniture"", ""Crib - available upon request"", ""Wifi"", ""Indoor fireplace"", ""Drying rack for clothing"", ""Stove"", ""BBQ grill: gas"", ""TV"", ""Pets allowed"", ""Coffee maker"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Outlet covers"", ""Pack \u2019n play/Travel crib - available upon request"", ""Bed linens"", ""Hair dryer"", ""Barbecue utensils"", ""Bathtub"", ""Dryer"", ""Essentials"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Dishes and silverware"", ""Private backyard \u2013 Not fully fenced"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Washer"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Coffee"", ""Hot water"", ""Conditioner"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Shampoo"", ""Kitchen""]",149%,30,1125,30.0,1125.0,t,29,59,89,303,4,1,13/09/2014,18/10/2024,4.89,4.97,4.92,4.96,4.97,4.97,4.87,f,1,0.57
8,09/11/2024,city scrape,"The Loft: near MSU, private entry, kitchen & baths","Our fun & sun-filled Loft has a private entrance, a  newly remodeled and well-stocked full kitchen, a bathroom with shower/tub, a queen & a twin bed, AC, a separate toilet area, a sofa/seating area & a TV with Prime/Netflix/Apple/Max - and an indoor swing! There is a Traeger BBQ & an outdoor dining table + two bikes, and a full washer/dryer & 2nd half bath in the garage. We have designated parking for Loft guests, and are just blocks from the university & historic downtown.    STR 22-00101","The Southside of Bozeman is the main historic district. It is composed of safe, and friendly neighborhoods lined with mature trees, and an eclectic array of architecture. From our home, it is only a few minute walk to MSU, a short bike ride or walk to the historic downtown. And just two blocks from our home is Bozeman's Southside Park, with a play ground for kids, plus tennis/pickle ball courts, and in the winter,  an ice skating rink.",Lori,30/08/2014,"Bozeman, MT","We moved to Bozeman, Montana from Sonoma County in 2000 with a little kid, two dogs & a cat. The following decades were largely spent renovating this old 1920's home, while juggling all things young families juggle. Thankfully, things are finally slowing down.

Before joining AirBnB, we hosted international students and non-profit workers in ""The Loft"" - our  private entry guest space  - but have found hosting on AirBnB to be a great experience!",within an hour,100%,100%,t,2,2,"['email', 'phone']",t,t,Bozeman,Entire guest suite,Entire home/apt,3,1.0,1,2.0,"[""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Hangers"", ""Carbon monoxide alarm"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Free parking on premises"", ""Microwave"", ""Free washer \u2013 In building"", ""Books and reading material"", ""Outdoor furniture"", ""Garden view"", ""Wifi"", ""Clothing storage"", ""Stove"", ""Courtyard view"", ""First aid kit"", ""Body soap"", ""Coffee maker"", ""Ethernet connection"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""BBQ grill"", ""Fire extinguisher"", ""Keypad"", ""Barbecue utensils"", ""Hair dryer"", ""Bed linens"", ""Shared patio or balcony"", ""Hot water kettle"", ""Bathtub"", ""Essentials"", ""Portable air conditioning"", ""Window AC unit"", ""HDTV with Amazon Prime Video, Apple TV, HBO Max, Netflix"", ""Self check-in"", ""Freezer"", ""Dishwasher"", ""Shower gel"", ""Free dryer \u2013 In building"", ""Dedicated workspace"", ""Dishes and silverware"", ""Toaster"", ""Heating"", ""Baking sheet"", ""Private backyard \u2013 Fully fenced"", ""Wine glasses"", ""Sound system"", ""Dining table"", ""Oven"", ""Iron"", ""Bikes"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Conditioner"", ""Pocket wifi"", ""Smoke alarm"", ""Exercise equipment"", ""Cooking basics"", ""Shampoo"", ""Kitchen"", ""Room-darkening shades""]",200%,2,1125,2.0,1125.0,t,25,52,82,347,42,4,14/06/2015,02/11/2024,4.99,4.99,4.97,4.99,4.99,4.99,4.95,f,2,2.3
9,09/11/2024,city scrape,Yellow Dogs Cottage: Unique Large Downtown Cottage,"Yellow Dogs Cottage is a Stylish and uniquely charming cottage is walking distance to Montana State University and town, close to skiing at Bridger Bowl & Big Sky, fishing, hiking, and so much more. Nestled in a lush, historic South-side neighborhood this cottage is thoughtfully and lovingly renovated and decorated. The cottage is always cleaned & sanitized between guests. One space flows into the next, making this a relaxing get-away spot.","Yellow Dogs Cottage<br />We think our neighborhood is the nicest in Bozeman. Here is where you will find most of the town's historic homes, including the Story Mansion just one block away. There is a wonderful, friendly atmosphere with a mix of locals, transplant families, and university students who all live in Bozeman for the amazing quality of life and accessibility to the incredible array of outdoor activities and beauty. MSU and downtown are each less than 10 minutes by foot. Hiking and biking trails are close by.",Sharon,17/09/2014,"Bozeman, MT","I have had my home and cottage in Bozeman for over 20 years. During that time our family lived abroad in Lugano, Switzerland, and then Surrey, England for over 9 years, returning to our home once or twice a year to stay in touch with lovely Bozeman and our wonderful local friends. We are originally from Connecticut and have lots of family there that we visit regularly. I’ve been back in Bozeman full time for about 8 years and love all the many activities MT has to offer including skiing, snow shoeing, hiking, cycling, camping, tennis, pickleball, yoga  and so much more. 

I have two sons, one who graduated from the US Naval Academy Annapolis and is now a Marine Officer stationed at Camp Lejeune in North Carolina. The other graduated from University College London, England Medical School and is currently working as a doctor in London and is a competitive rower. 

I’m busy managing my rental properties located on the edge of the MSU campus and our lovely Yellow Dogs guest Cottage along with working as a Property Manager for others. 

Our Yellow Dogs are named Rumo & Tater.  You will occasionally see them playing and chasing balls in the fenced in backyard. 
",within an hour,100%,100%,f,3,3,"['email', 'phone']",t,t,Bozeman,Entire place,Entire home/apt,3,1.0,1,2.0,"[""Shampoo"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Private entrance"", ""Portable fans"", ""Hangers"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Outdoor dining area"", ""Free parking on premises"", ""Hammock"", ""Microwave"", ""Books and reading material"", ""Outdoor furniture"", ""Garden view"", ""Wifi"", ""Cleaning available during stay"", ""Stove"", ""First aid kit"", ""Pack \u2019n play/Travel crib"", ""Pets allowed"", ""Coffee maker"", ""Long term stays allowed"", ""Cleaning products"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Keypad"", ""Hair dryer"", ""Bed linens"", ""Liquid   body soap"", ""Hot water kettle"", ""Clothing storage: wardrobe"", ""Essentials"", ""HDTV with premium cable, Netflix, Amazon Prime Video"", ""Window AC unit"", ""Indoor fireplace: wood-burning"", ""Self check-in"", ""Freezer"", ""Fire pit"", ""Shower gel"", ""Dishes and silverware"", ""Dedicated workspace"", ""Toaster"", ""Single level home"", ""Baking sheet"", ""Private backyard \u2013 Fully fenced"", ""Central heating"", ""Board games"", ""Wine glasses"", ""Dining table"", ""Oven"", ""Iron"", ""Varies conditioner"", ""Coffee"", ""Hot water"", ""Ceiling fan"", ""Free street parking"", ""Smoke alarm"", ""Cooking basics"", ""Private patio or balcony"", ""Game console: Nintendo Wii"", ""Kitchen""]",235%,3,120,3.0,1125.0,t,23,29,59,215,17,2,15/11/2014,19/10/2024,4.91,4.85,4.94,4.99,5.0,4.96,4.85,f,3,0.86
